id,country_id,club_id,first_name,second_name,birthday,pnumber,position
28,18,8,Yan,Zommer,1988-12-17,1,GK
29,5,8,Marco,Bastoni,1999-04-13,95,CB
30,5,8,Marco,Acerbi,1988-06-30,15,CB
31,3,8,Benzamin,Pauvar,1996-03-28,28,RB
32,14,8,Carlos,Augusto,1999-01-07,30,LWB
33,19,8,Genrich,Mkhitaryan,1989-01-21,22,CM
34,20,8,Calhan,Chanhonodlu,1994-02-08,20,CAM
35,5,8,Nicolo,Barella,1997-02-07,23,CM
36,12,8,Denzel,Dumpfris,1996-04-18,2,RWB
37,3,8,Marcos,Thuram,1997-08-06,9,FRW
38,10,8,Lisandro,Martinez,1997-08-22,10,FRW
39,4,3,Manuel,Nuyer,1986-02-18,1,GK
40,4,3,Conrad,Lyimer,1997-05-27,27,RB
41,3,3,Dayo,Upamecano,1998-10-27,2,CB
42,21,3,Min Kze,Kim,1996-11-15,3,CB
43,22,3,Alphonso,Devis,2000-02-11,19,LB
44,4,3,Mike,Goretzka,1995-02-06,8,CM
45,4,3,Josya,Kimich,1995-02-08,6,CDM
46,3,3,Kingsly,Coman,1996-06-13,11,LW
47,4,3,Jamal,Musiala,2003-02-26,42,CAM
48,3,3,Mikle,Olise,2001-12-12,17,RW
49,1,3,Harry,Kane,1993-07-28,9,FRW
50,6,7,Igor,Akinfeev,1986-04-08,35,GK
51,23,7,Milan,Gaich,1996-01-28,22,RB
52,6,7,Igor,Diveev,1999-09-27,78,CB
53,14,7,Villian,Rosha,1995-01-27,4,CB
54,14,7,Neto,Moizes,1995-03-11,27,LB
55,6,7,Ivan,Oblyakov,1998-07-05,10,CAM
56,24,7,Miralem,Pyanich,1990-04-02,15,CM
57,6,7,Matvei,Kislyak,2005-07-26,31,CM
58,25,7,Damir,Faizullaev,2003-10-03,21,CAM
59,6,7,Tamerlan,Musaev,2001-07-29,11,FRW
60,26,7,Seku,Koita,1999-11-28,20,FRW
61,2,2,David,Raya,1995-09-15,22,GK
62,1,2,Jurien,Timber,2001-06-17,12,RB
63,3,2,William,Saliba,2001-03-24,2,CB
64,14,2,Tono,Gabrial,1997-12-19,6,CB
65,1,2,Miles,Lewis-skelly,2006-09-26,49,LB
66,27,2,Martin,Edegor,1998-12-17,8,CM
67,28,2,Thomas,Party,1993-06-13,5,CDM
68,1,2,Declan,Rice,1999-01-14,41,CDM
69,14,2,Gabriel,Martinelli,2001-06-19,11,RW
70,4,2,Kai,Havertz,2000-01-19,9,FRW
71,16,2,Leonardo,Trossard,1994-04-12,19,LW
72,29,6,Voicech,Shzensny,1990-04-18,25,GK
73,2,6,Alexandro,Balde,2003-10-18,3,LB
74,2,6,Inigo,Martinez,1991-05-17,5,CB
75,2,6,Pau,Kubarsi,2007-01-22,2,CB
76,3,6,Jule,Kunde,1998-11-12,23,RB
77,2,6,Jao,Pedri,2002-11-25,8,CM
78,2,6,Mark,Casado,2003-09-14,17,CM
79,2,6,Dani,Olmo,1998-05-07,20,CAM
80,14,6,Juni,Raphinya,1996-12-14,11,LW
81,29,6,Robert,Lewandowski,1998-08-21,9,FRW
82,2,6,Lamin,Yamal,2007-07-13,19,RW
83,5,4,Ganluiggi,Donarumma,1999-02-25,1,GK
84,8,4,Nunu,Mendes,2002-06-19,25,LB
85,30,4,William,Pacho,2001-10-16,51,CB
86,14,4,Simono,Marquinos,1994-05-14,5,CB
87,31,4,Ashraf,Hakimi,1998-11-04,2,RB
88,8,4,Jao,Neves,2004-09-27,87,CM
89,14,4,Pao,Vitinha,2000-02-13,17,CM
90,2,4,Fabian,Ruiz,1996-04-03,8,CM
91,3,4,Bradley,Bracola,2002-09-02,29,LW
92,3,4,Qusman,Dembele,1997-05-15,10,FRW
93,32,4,Hvicha,Kvaratshellia,2001-02-12,7,RW
